Statistical profiling result from isolate-0x102801e00-v8.log, (2581 ticks, 222 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.2%          /usr/lib/system/libsystem_platform.dylib
      4    0.2%          /usr/lib/system/libsystem_pthread.dylib
      2    0.1%          /usr/lib/system/libsystem_malloc.dylib
      2    0.1%          /usr/lib/system/libsystem_c.dylib
      2    0.1%          /usr/lib/libc++abi.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     22    0.9%    0.9%  Builtin: InterpreterEntryTrampoline
     13    0.5%    0.5%  Builtin: StringPrototypeSlice
     12    0.5%    0.5%  Builtin: Call_ReceiverIsAny
      9    0.3%    0.4%  Builtin: MapLookupHashIndex
      8    0.3%    0.3%  StoreIC: A store IC from the snapshot
      8    0.3%    0.3%  LazyCompile: ~Module._resolveLookupPaths module.js:352:38
      8    0.3%    0.3%  LazyCompile: *normalizeStringPosix path.js:106:30
      8    0.3%    0.3%  Builtin: KeyedLoadIC_Megamorphic
      8    0.3%    0.3%  Builtin: CallFunction_ReceiverIsAny
      7    0.3%    0.3%  Stub: StringAddStub
      7    0.3%    0.3%  LazyCompile: ~fs.readFileSync fs.js:565:27
      7    0.3%    0.3%  Builtin: StringPrototypeCharCodeAt
      5    0.2%    0.2%  LazyCompile: ~normalizeStringPosix path.js:106:30
      5    0.2%    0.2%  LazyCompile: ~Module._findPath module.js:189:28
      5    0.2%    0.2%  KeyedLoadIC: A keyed load IC from the snapshot
      4    0.2%    0.2%  Stub: CEntryStub
      4    0.2%    0.2%  LazyCompile: ~SemVer /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/semver/semver.js:287:16
      4    0.2%    0.2%  LazyCompile: ~Module._load module.js:455:24
      4    0.2%    0.2%  KeyedStoreIC: A keyed store IC from the snapshot
      4    0.2%    0.2%  Builtin: KeyedStoreIC_Megamorphic_Strict
      3    0.1%    0.1%  LazyCompile: ~tryStatSync fs.js:531:21
      3    0.1%    0.1%  LazyCompile: ~extname path.js:1463:28
      3    0.1%    0.1%  LazyCompile: ~basename path.js:1385:30
      3    0.1%    0.1%  LazyCompile: ~Module.load module.js:564:33
      3    0.1%    0.1%  LazyCompile: ~FastBuffer buffer.js:70:14
      3    0.1%    0.1%  LazyCompile: *realpathSync fs.js:1598:40
      3    0.1%    0.1%  Builtin: StoreICStrict_Uninitialized
      3    0.1%    0.1%  Builtin: RegExpPrototypeTest
      3    0.1%    0.1%  Builtin: LoadICProtoArray
      2    0.1%    0.1%  Stub: GetPropertyStub
      2    0.1%    0.1%  LoadIC: A load IC from the snapshot
      2    0.1%    0.1%  LazyCompile: ~tryReadSync fs.js:553:21
      2    0.1%    0.1%  LazyCompile: ~tryOnImmediate timers.js:729:24
      2    0.1%    0.1%  LazyCompile: ~tryExtensions module.js:177:23
      2    0.1%    0.1%  LazyCompile: ~toRealPath module.js:170:20
      2    0.1%    0.1%  LazyCompile: ~realpathSync fs.js:1598:40
